ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,año
AGUASCALIENTES,20.712779156327542,23.740902964959563,26.517555831265504,26.513333333333343,30.245693730195825,26.44056603773584,24.571645628798507,25.713024954351795,26.628717948717945,25.651054590570727,24.206025641025636,21.895806451612906,25.236425522407924,1985
BAJA CALIFORNIA,17.562808374074695,19.5486838480441,20.53176785199726,26.056186356028945,26.951638777836035,32.019626498040445,34.45299559599089,34.598734981076696,29.792174973244293,27.084412143369295,21.310611314553736,20.509111571388726,25.868229357137093,1985
BAJA CALIFORNIA SUR,22.659096752203777,24.271990740740744,27.016454242260693,28.98775757575757,31.579313248123356,33.379501362834695,35.28316845274732,35.56627325058996,34.789445125352565,31.87999408561078,27.713117283950616,26.151145301746325,29.93977145182654,1985
CAMPECHE,29.954718205413428,31.7934263983371,34.53997265480164,34.74894173602854,35.790282755874166,34.990675782798256,34.37390082547861,34.65489736070381,33.81651766709238,32.921266427718045,32.36237701149426,30.606336405529966,33.379442769272515,1985
COAHUILA,15.060987041632208,19.340677248677252,25.644738649940265,27.624162675606645,31.28665471923537,31.873829885057468,31.997726574500764,32.132008726819386,31.033710756562012,27.792773152965662,25.690450928381964,20.99959417273673,26.706442877676313,1985
COLIMA,30.494239631336402,31.909438775510193,33.0837669094693,32.88001593314093,33.54424957079605,33.34788395276046,31.43835125448029,32.1723476702509,32.04313748079877,32.1317536477941,31.27142857142857,31.527843803056026,32.15370476673516,1985
CHIAPAS,28.083907077515644,29.154270736072192,31.22523393419321,31.71478293227487,32.2739091519631,30.54155838747294,29.951540388270672,30.000038678734434,29.629053520114947,29.50472406704618,29.110490860137162,28.520874456613,29.9758653492007,1985
CHIHUAHUA,14.124609781477625,18.290575333757157,22.4008868670159,25.338070416332016,30.39848002123988,31.95232093663911,30.48725092622601,30.493779546718585,27.447431192660535,24.921523003701747,21.378637390706363,19.123759667987173,24.69644375703851,1985
CIUDAD DE MÉXICO,21.07929339477726,22.52,25.326209677419353,23.099428571428568,25.44884792626728,23.15419047619047,22.095635673624287,23.02298003072197,22.882761904761903,23.04001256807709,22.766176470588235,21.07438330170778,22.959159999630348,1985
DURANGO,17.82066386161758,21.026599702380956,25.68136762451482,26.228983096686946,31.42946006555115,30.08021501014198,27.24992020268517,28.115133682069157,27.307678272064614,26.175647432985006,23.52621189405297,20.717344553529685,25.446602116523334,1985
GUANAJUATO,22.077682198327366,24.065714285714293,26.9970943847073,27.339398496240612,29.866509358821183,26.679333333333325,24.909868578255676,25.735023041474665,26.08769423558898,25.717932435864853,24.64974358974359,22.745587984297646,25.57263182686412,1985
GUERRERO,30.388528450651684,31.370182830967142,33.00489142373951,33.56032392107143,33.62000996805418,30.93773238328962,29.69692212623588,29.7349243691101,29.943848951373166,30.497939891945183,30.610295229097787,30.689502469097608,31.17125850121944,1985
HIDALGO,21.071996061477467,22.800107392494027,25.062765630948853,24.64757894736843,26.092694497153705,24.125286146400466,22.760251298779757,23.93967223165441,23.87057480571454,23.47867439742051,23.444185046651924,21.44726410725581,23.56175421360999,1985
JALISCO,24.698363669306367,27.38048941791666,29.995338318639064,30.62611948485029,32.954671518658536,29.33370360628049,27.294177026211173,28.32536982727273,28.87248633506024,28.657736140778457,27.554317439999995,26.24766155616353,28.495036195094794,1985
ESTADO DE MÉXICO,20.53703223507366,21.84169246446244,24.058630655979954,23.669483152809914,24.59235111707787,21.942723349506167,21.11242883753061,21.51374657431451,21.78043504321862,22.11334247433333,21.921996450237504,20.757215194004328,22.153423129045745,1985
MICHOACÁN,26.03925734488237,27.73263583005848,30.015219117267442,30.832433153832323,31.69086646186667,28.63643816668676,26.838395062,27.134598301084328,27.658328226707315,27.47802345165562,26.769374359589023,25.73482949731034,28.04669991441172,1985
MORELOS,28.020548606326532,29.279380849999995,31.332658430851055,32.01356382999999,32.17352630645832,27.96097222208334,26.914664441875,27.912091054468082,26.916730768846158,27.285328784423072,27.28380636519231,27.167362428823516,28.688386174112285,1985
NAYARIT,27.303763439999997,29.203814935000004,31.787624069500005,32.352916667,34.69489247277778,33.61724137862069,32.04233870975,32.412563666842104,32.22018518449999,32.525345622571436,30.120833333125002,28.344086021333336,31.38546712508503,1985
NUEVO LEÓN,17.76376314343221,20.792096033076916,26.553927069043475,28.296811081794868,31.03035888069564,31.85105694075631,32.47692405137931,33.627985536371675,31.742400331801797,28.15451903522522,26.24099577734693,20.418543344811887,27.412448435478026,1985
OAXACA,27.06803447737112,27.855508598000014,29.121938513644075,30.582439367818175,30.248675655856363,28.63912377202128,28.18650647768786,28.063900413440873,28.435166150331483,28.054415796139224,28.014853479551295,27.10563276854431,28.4480162892005,1985
PUEBLA,23.025169882288132,23.59463793760331,25.630574454310363,25.812327860095255,27.669897147913037,25.96917191196429,24.717444143589727,24.917080814434787,25.176318840086964,24.100590216185566,23.884047081382977,22.274238822421044,24.73095825935629,1985
QUERÉTARO,22.31758832523809,24.3503273805,27.714393977804875,27.761166666499996,29.038461539230774,26.427543859210527,26.012903225454544,26.346071133076922,26.492307691794874,26.021009097692307,25.157536907948717,22.678750000249998,25.859838317058465,1985
QUINTANA ROO,28.757849462000003,30.09317548533333,32.249354839333336,32.61139784870967,33.789247311,34.093062801,33.55187096833334,33.08688865741936,32.720789272666664,31.666597294516126,31.067812499687502,28.769020938666667,31.871422281555493,1985
SAN LUIS POTOSÍ,21.54886970656716,24.173284239134627,27.810899315681823,28.432361856148155,30.892032811654133,29.400674851666682,27.96750570204545,29.643504394573643,29.355119432343745,28.16971722046874,26.79817332604839,22.90010322544,27.257687173481045,1985
SINALOA,25.052723083285706,27.389649905625,30.076792264444432,32.30757804822785,35.37905243333333,35.84128416246914,34.308362135375,34.43293180911393,33.684290647999994,33.13098035314815,30.285290664464295,28.65810703357143,31.71225354508819,1985
SONORA,20.274215602960535,23.133380548974365,26.290625115822774,30.925871031750017,34.39665898609271,37.875153677631566,36.897831985512816,35.81365830094597,34.06271475836604,30.691195741354832,25.929727300974015,24.182140345850343,30.039431116353,1985
TABASCO,27.401267279642855,29.26854395538462,32.72747909111111,33.659761904999996,35.139055299999995,34.56267347777778,33.998597475652176,34.241935484347835,33.60202898521739,32.772230013913045,31.67287878909091,28.46549789565217,32.29266247106582,1985
TAMAULIPAS,20.630951840140852,23.372420405343508,29.350119474375006,30.730086713749984,32.92623854557144,32.916352656739114,32.932912207234025,34.70382416207143,33.73787051693429,31.616371368805964,29.506266968235288,23.438195589197086,29.65513420403317,1985
TLAXCALA,20.30478309206896,21.28423645241379,23.28676306965518,22.50411111,24.113559593225798,21.435555555999997,20.650260146451615,21.875511620000005,21.77494623612903,21.633090530967742,21.615376344838715,19.88647242483871,21.697055514715796,1985
VERACRUZ,23.231456481954023,24.16877776738637,27.954704762000002,29.761278160914316,31.7194992227907,30.598629659827576,29.19593123694116,29.95412752304094,29.835238962298146,28.684335874567903,27.78506406044586,24.548996923270447,28.119836719619787,1985
YUCATÁN,30.084722911538464,31.4486471860606,33.33812316696969,33.588615384769234,34.93317972349205,35.08722222216667,34.259937564677415,34.4059756737705,33.57338888883333,32.4979032255,31.599827585862066,29.2418242487931,32.83828064853609,1985
ZACATECAS,19.67842224975961,22.55413719920792,26.035258815232556,26.53511687290698,30.4796069708046,27.327932340340904,25.469847819302316,26.582128290229885,26.920883534698802,25.86473142936708,24.339506172469132,22.04126518584416,25.319069740013664,1985
NACIONAL,23.275940400645922,25.273418964035525,28.198847818873116,29.116950130880497,31.13717424342535,30.094976150170144,29.190563023221173,29.714772867534226,29.1823242700588,28.184849109896337,26.73710737932196,24.652140552854565,27.896588742576473,1985
AGUASCALIENTES,21.899937965260545,23.95502291825821,24.97184750733137,29.04753086419753,29.73417712066905,26.28090909090908,25.284647550776572,27.135849056603778,26.397,23.922491039426518,24.1145061728395,21.610772976262933,25.362891021877925,1986
BAJA CALIFORNIA,22.653833410066213,21.4699449062181,23.719465772348663,26.017302036675996,27.774792004472175,31.415589676811972,32.824321738846095,34.157643045073016,29.26525851226839,26.781741881940146,24.065442618014494,20.33976386848414,26.70709162260162,1986
BAJA CALIFORNIA SUR,27.315060502707425,26.784512781057277,28.359836484450785,32.22046350698524,31.1149194958073,33.14562422191098,34.88217395887761,35.45916451357091,34.174722814606916,31.15127324691991,28.934181722371275,25.038997913156678,30.71507759686852,1986
CAMPECHE,29.381340923466162,32.84635854341737,33.43846153846154,36.456862745098036,36.467109424414915,34.84312925170068,34.62945041816009,34.99082858950031,34.49404761904762,33.91580645161291,32.85608974358975,31.981854838709676,33.858445007264926,1986
COAHUILA,20.237863499126014,24.0233353299391,26.30828939237229,30.344737670278295,31.533985712863394,30.745278101209134,31.699492585564688,32.885648204503966,30.061434729064054,25.537120669056154,23.22587586206897,18.27935666739815,27.073534868620346,1986
COLIMA,31.25245441795232,31.227944444444443,31.869962599345488,33.49476190476191,33.980161290322584,33.831818181818186,32.65422776148583,33.52487143525011,32.68101427308324,31.715714298325928,32.919660869143634,31.866888646690477,32.58495667688535,1986
CHIAPAS,27.36258572517145,30.070616638706078,30.078265090277256,32.46431271967321,31.64270848043469,30.52596393602141,30.119543010752693,30.30663144880297,30.109035550530734,29.770023206485213,29.766097560975616,29.29527435363805,30.125921476789113,1986
CHIHUAHUA,18.844692583402264,21.240792120337566,22.831661696936848,28.18973850574714,30.12162090109304,31.15270402298851,29.11941372767127,29.654204483324214,28.070565134099617,24.674389901823275,20.551652173913045,15.285051843317973,24.97804059122123,1986
CIUDAD DE MÉXICO,20.63465140478668,23.40963203463204,24.69015456989247,26.315169956140352,25.37991675338189,23.642640086206892,23.266569220430107,23.769166542787765,23.897741935483868,22.90434269857787,22.889,21.93548387096774,23.56120575610731,1986
DURANGO,20.198842018196842,22.985262206148285,24.476398530012247,28.693770712046575,29.891648273910576,29.41419797316349,27.367147707979626,28.479702746319887,26.728358578807768,24.459984857523054,23.451990740740744,18.773146488782693,25.410037569469313,1986
GUANAJUATO,22.321479774705573,24.790749414519905,25.673316129032262,29.51953125,30.046159754224256,26.258941798941787,25.525277630883135,26.364621893178207,26.270743801652877,24.54165260945163,24.680694444444445,22.99496199480905,25.749010874653592,1986
GUERRERO,30.27414526452695,31.448288742471117,32.105687230826284,33.972929798994315,33.072831565476065,31.28044235004762,30.717327052246155,31.013374543830285,30.521273181210184,30.986909857772286,31.365058177575644,30.48223641091978,31.43670868132472,1986
HIDALGO,20.35085427951599,23.742752742919127,23.702782350760113,27.046589474040587,26.373188187717474,24.02417071321736,23.33727956989247,24.33894246757565,23.95905934787709,22.588943347546657,22.54898787392367,22.05021172475782,23.671980173312004,1986
JALISCO,26.435746539550564,27.68824889904191,29.132764278651685,32.17245481453489,32.71394348497176,29.626045052471287,28.002798633793102,28.993898177175147,28.65520554441176,27.249546962588234,28.084496048687505,25.895745500484857,28.720907828030224,1986
ESTADO DE MÉXICO,20.561167877309238,22.33124385413247,23.496531422358014,25.483946750359067,24.367792221120148,21.936564181592292,21.630322858717076,22.114836759351988,22.471307722748993,21.879876541666675,22.285324038236947,20.85501739827967,22.451160968822716,1986
MICHOACÁN,25.752351680069943,26.981625258840563,28.50573241072463,31.438064230575534,31.270471497810227,27.967675583722627,26.5042577844697,27.110526963664114,27.03507608900762,26.374718963636365,27.140893585322566,25.85036259077518,27.660979719884924,1986
MORELOS,26.24629981019608,28.822058823137258,29.94877419379999,32.08044871826922,30.85734077750001,27.890326797647063,28.158534946666673,28.185268210816325,28.000778201428577,28.177083332916666,28.99095622382979,27.96602608170212,28.77699134315915,1986
NAYARIT,30.28837685666666,29.672869674736848,31.86724565769231,34.43823973628571,34.26162117410256,33.919273183142856,33.05538668972974,33.094185731081076,32.55509259222222,31.80599078342857,32.25932311638889,29.47296015205883,32.22421377896136,1986
NUEVO LEÓN,21.195037029204077,24.572978926883494,26.612543349196066,29.890773090309285,30.541139809278352,29.73777862044445,31.62582562243902,32.73663039216866,30.294170771309513,25.72713266426924,22.686565618192308,17.599597325635134,26.935014434944136,1986
OAXACA,26.2017093303871,28.409991088910246,28.757383364683548,31.28300810470967,30.447012374129045,28.867848870700634,28.404126808461523,28.945216787548382,28.40763232611111,28.075825151925468,28.027319206385545,27.246383471369054,28.58945474044344,1986
PUEBLA,21.86197500212962,24.38513496972221,24.750470611320758,27.187322435000006,26.97039650489583,25.28130939659794,24.687073399130444,25.405396761162795,25.190564263218395,24.196774193809524,23.92254238770115,22.536906318390805,24.69798885358996,1986
QUERÉTARO,22.070759176749995,26.467080745217395,26.233225806249997,29.842173765588228,29.31333746849999,26.400000000256412,26.949715370000003,27.264516129666667,26.291666666562495,24.09053069677419,24.381414141212126,22.59811309027027,25.991877754753983,1986
QUINTANA ROO,28.440097120967746,30.438184843870967,31.255591397,33.03571428535714,33.196329254137936,32.779942528620694,32.82059696,33.12065257655173,32.54955555633334,31.892715920967742,31.370107527096774,30.617849462666662,31.79311145279756,1986
SAN LUIS POTOSÍ,22.810658602265622,26.587922751600004,27.573756150762716,30.751628779016396,31.133870967627118,29.103510093277304,28.80021886017699,31.139848079459455,28.961889493771913,26.13117245605768,25.228836067184456,21.965072302643673,27.515698716986943,1986
SINALOA,29.600945494827585,28.816314611230762,31.630208284626868,34.75052623015152,35.10050949492308,35.542146650147046,34.57604539984127,34.4351982528125,34.121018945396834,32.21853257392157,31.65678431377778,27.022624935000003,32.45590459888807,1986
SONORA,26.6451130699315,25.494122727114092,28.822967719671055,32.75506651089655,34.683460276793895,37.416664501751825,35.12538091964538,36.101996927669184,34.41231855514288,30.955914044609386,26.865747301920017,21.963780535630246,30.936877757564663,1986
TABASCO,26.61290322636363,31.078896103181815,31.03020527772727,34.83304347869564,35.414746542857145,34.289999999523815,33.579435483478264,34.08232819130435,33.284202899130435,32.39278673791666,31.06121212090909,29.055913977916664,32.22630616991706,1986
TAMAULIPAS,24.207456243649627,28.048081419225355,30.188712993506492,32.69091860886525,33.038146888145704,33.439371241655635,33.58110522694029,35.379178077925935,33.05250343548147,29.314649556569343,26.526164891214293,21.83243891884892,30.108227291835693,1986
TLAXCALA,19.698998887586207,21.962899275925924,22.55545905769231,25.0657333332,23.816129032916674,22.24478260826087,22.05345622095238,22.791935483999996,22.491333331999996,21.450358422222227,21.628125,20.67334465210526,22.202712942238488,1986
